file_name,openssl_101f,boringssl_0,sim_value
tasn_fre.c_tasn_fre.c,ASN1_primitive_free,ASN1_primitive_free,1.0
tasn_dec.c_tasn_dec.c,asn1_template_ex_d2i,asn1_template_ex_d2i,1.0
a_strex.c_a_strex.c,do_name_ex,do_name_ex,1.0
v3_alt.c_v3_alt.c,i2v_GENERAL_NAME,i2v_GENERAL_NAME,1.0
v3_skey.c_v3_skey.c,s2i_skey_id,s2i_skey_id,1.0
tasn_dec.c_tasn_dec.c,asn1_check_tlen,asn1_check_tlen,1.0
a_strex.c_a_strex.c,do_buf,do_buf,1.0
x509_vfy.c_x509_vfy.c,get_crl_score,get_crl_score,0.9999999999999999
v3_alt.c_v3_alt.c,a2i_GENERAL_NAME,a2i_GENERAL_NAME,0.9999999999999999
a_strex.c_a_strex.c,do_print_ex,do_print_ex,0.9999869519832985
c_cfb64.c_cast.c,CAST_cfb64_encrypt,CAST_cfb64_encrypt,0.9999850621566975
pcy_cache.c_pcy_cache.c,policy_cache_new,policy_cache_new,0.999966052800511
cfb64ede.c_cfb64ede.c,DES_ede3_cfb_encrypt,DES_ede3_cfb_encrypt,0.9999378902762119
ecp_smpl.c_simple.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_is_on_curve,0.9999149003287419
v3_conf.c_v3_conf.c,v3_generic_extension,v3_generic_extension,0.9998761609888127
tasn_dec.c_tasn_dec.c,asn1_ex_c2i,asn1_ex_c2i,0.9998657638039556
gcm128.c_gcm.c,CRYPTO_gcm128_aad,CRYPTO_gcm128_aad,0.999673622175713
a_mbstr.c_a_mbstr.c,ASN1_mbstring_ncopy,ASN1_mbstring_ncopy,0.9996360318254747
bf_cfb64.c_cast.c,BF_cfb64_encrypt,CAST_cfb64_encrypt,0.9995699643703478
cbc128.c_cbc.c,CRYPTO_cbc128_decrypt,CRYPTO_cbc128_decrypt,0.9995447005591962
a_object.c_a_object.c,a2d_ASN1_OBJECT,a2d_ASN1_OBJECT,0.9994493948517333
tasn_new.c_tasn_new.c,ASN1_primitive_new,ASN1_primitive_new,0.9994367982516326
bio_b64.c_base64_bio.c,b64_read,b64_read,0.9993511540153474
pem_pk8.c_pem_pk8.c,d2i_PKCS8PrivateKey_bio,d2i_PKCS8PrivateKey_bio,0.9993207713594351
asn1_gen.c_asn1_gen.c,asn1_str2type,asn1_str2type,0.9989974718856247
ecp_smpl.c_simple.c,ec_GFp_simple_dbl,ec_GFp_simple_dbl,0.9989572986777076
tasn_dec.c_tasn_dec.c,asn1_template_noexp_d2i,asn1_template_noexp_d2i,0.9988290297819079
pem_lib.c_pem_lib.c,PEM_do_header,PEM_do_header,0.9987900088700117
bn_exp.c_exponentiation.c,BN_mod_exp_recp,mod_exp_recp,0.998233617228182
a_d2i_fp.c_a_d2i_fp.c,asn1_d2i_read_bio,asn1_d2i_read_bio,0.9982165340508613
t_x509.c_t_x509.c,X509_ocspid_print,X509_ocspid_print,0.9981742986158757
tasn_new.c_tasn_new.c,asn1_item_ex_combine_new,asn1_item_ex_combine_new,0.9980861316294007
v3_prn.c_v3_prn.c,X509V3_EXT_print,X509V3_EXT_print,0.9979707792207793
cfb64ede.c_cfb64ede.c,DES_ede3_cfb64_encrypt,DES_ede3_cfb64_encrypt,0.9979492173725562
tasn_fre.c_tasn_fre.c,asn1_item_combine_free,asn1_item_combine_free,0.9978770599687004
tasn_enc.c_tasn_enc.c,asn1_ex_i2c,asn1_ex_i2c,0.9978231466545948
x509_obj.c_x509_obj.c,X509_NAME_oneline,X509_NAME_oneline,0.9976215011854974
cfb64enc.c_cfb64ede.c,DES_cfb64_encrypt,DES_ede3_cfb64_encrypt,0.9973457916175847
pcy_tree.c_pcy_tree.c,tree_init,tree_init,0.9970317468224592
x_long.c_x_long.c,long_i2c,long_i2c,0.9968487757194577
pem_lib.c_pem_lib.c,PEM_read_bio,PEM_read_bio,0.9968004045082421
a_int.c_a_int.c,d2i_ASN1_UINTEGER,d2i_ASN1_UINTEGER,0.9966244311164223
bn_prime.c_prime.c,BN_is_prime_fasttest_ex,BN_is_prime_fasttest_ex,0.9966136424847098
x509_vfy.c_x509_vfy.c,internal_verify,internal_verify,0.9965323679871658
ecp_smpl.c_simple.c,ec_GFp_simple_add,ec_GFp_simple_add,0.9964161974092031
a_bitstr.c_a_bitstr.c,c2i_ASN1_BIT_STRING,c2i_ASN1_BIT_STRING,0.9963817628253544
v3_purp.c_v3_purp.c,x509v3_cache_extensions,x509v3_cache_extensions,0.9962244160748193
rc2_skey.c_e_rc2.c,RC2_set_key,RC2_set_key,0.9962202406758739
des_enc.c_cfb64ede.c,DES_ncbc_encrypt,DES_ede3_cfb_encrypt,0.996186163649063
x_crl.c_x_crl.c,crl_cb,crl_cb,0.9961246217146329
pem_info.c_pem_info.c,PEM_X509_INFO_write_bio,PEM_X509_INFO_write_bio,0.9958368794766599
tasn_dec.c_tasn_dec.c,asn1_d2i_ex_primitive,asn1_d2i_ex_primitive,0.995724905960079
ecp_smpl.c_simple.c,ec_GFp_simple_cmp,ec_GFp_simple_cmp,0.995677666741352
v3_ncons.c_v3_ncons.c,NAME_CONSTRAINTS_check,NAME_CONSTRAINTS_check,0.9953940180126861
ede_cbcm_enc.c_cfb64ede.c,DES_ede3_cbcm_encrypt,DES_ede3_cfb_encrypt,0.9952047831744723
a_int.c_a_int.c,c2i_ASN1_INTEGER,c2i_ASN1_INTEGER,0.9951145247776589
pem_lib.c_pem_lib.c,PEM_ASN1_write_bio,PEM_ASN1_write_bio,0.9950871086035317
des_enc.c_cfb64ede.c,DES_ede3_cbc_encrypt,DES_ede3_cfb_encrypt,0.9950456758176442
x_x509.c_x_x509.c,x509_cb,x509_cb,0.9950222318865192
xcbc_enc.c_cfb64ede.c,DES_xcbc_encrypt,DES_ede3_cfb_encrypt,0.9946352007605203
bn_sqrt.c_sqrt.c,BN_mod_sqrt,BN_mod_sqrt,0.9946130667670228
tasn_utl.c_tasn_utl.c,asn1_do_adb,asn1_do_adb,0.9945470617343279
v3_sxnet.c_v3_sxnet.c,SXNET_add_id_INTEGER,SXNET_add_id_INTEGER,0.994430519346792
tasn_enc.c_tasn_enc.c,asn1_template_ex_i2d,asn1_template_ex_i2d,0.9943719016781916
pem_pk8.c_pem_pk8.c,do_pk8pkey,do_pk8pkey,0.9941836790068826
x509_req.c_x509_req.c,X509_to_X509_REQ,X509_to_X509_REQ,0.9940010238537915
v3_conf.c_v3_conf.c,do_ext_nconf,do_ext_nconf,0.9937928444805005
ecp_smpl.c_simple.c,ec_GFp_simple_dbl,ec_GFp_simple_is_on_curve,0.9937296964398372
bn_exp.c_exponentiation.c,BN_mod_exp_mont_consttime,BN_mod_exp_mont_consttime,0.9937236270067941
ecp_oct.c_oct.c,ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9936670765286221
cbc_enc.c_cfb64ede.c,DES_cbc_encrypt,DES_ede3_cfb64_encrypt,0.9935326985802808
t_x509.c_t_x509.c,X509_print_ex,X509_print_ex,0.9934906685999834
tasn_dec.c_tasn_dec.c,ASN1_item_ex_d2i,ASN1_item_ex_d2i,0.9934343722507629
x509_req.c_x509_req.c,X509_REQ_get_extensions,X509_REQ_get_extensions,0.9933368051372813
bio_b64.c_base64_bio.c,b64_write,b64_write,0.9932338944915486
xts128.c_xts.c,CRYPTO_xts128_encrypt,CRYPTO_xts128_encrypt,0.9931786864498637
ecp_smpl.c_simple.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_dbl,0.9931591484770607
x509_vfy.c_x509_vfy.c,X509_STORE_CTX_init,X509_STORE_CTX_init,0.9929520335125233
t_pkey.c_print.c,ASN1_bn_print,bn_print,0.9928618185673688
des_enc.c_cfb64ede.c,DES_ncbc_encrypt,DES_ede3_cfb64_encrypt,0.9925745092292415
x509_vfy.c_x509_vfy.c,check_crl,check_crl,0.992140782795577
