openssl_101f,boringssl_0.9,sim_value
cpy_univ,cpy_bmp,1.0
PEM_read_bio_PKCS8,PEM_read_bio_PKCS8,1.0
d2i_ASN1_BMPSTRING,d2i_ASN1_GENERALSTRING,1.0
BF_cbc_encrypt,BF_cbc_encrypt,1.0
SSL_get_wbio,SSL_get_rbio,1.0
SSL_get_fd,SSL_num_renegotiations,1.0
X509_set_ex_data,X509_set_ex_data,1.0
X509_get_pubkey,X509_get_pubkey,1.0
d2i_PKEY_USAGE_PERIOD,d2i_PKEY_USAGE_PERIOD,1.0
EC_POINT_set_affine_coordinates_GFp,EC_POINT_get_affine_coordinates_GFp,1.0
check_ssl_ca,check_ssl_ca,1.0
X509_set_issuer_name,X509_set_issuer_name,1.0
ssl3_get_server_method,bio_fd_should_retry,1.0
X509_REVOKED_delete_ext,X509_REVOKED_get_ext,1.0
AES_ctr128_encrypt,AES_ctr128_encrypt,1.0
d2i_ASN1_T61STRING,d2i_ASN1_TIME,1.0
X509_CRL_verify,X509_CRL_verify,1.0
fd_free,fd_free,1.0
SSL_CTX_get_verify_mode,SSL_CTX_get_mode,1.0
EVP_DecryptInit_ex,EVP_DecryptInit_ex,1.0
cpy_utf8,cpy_utf8,1.0
fd_new,sock_new,1.0
nconf_get_section,nconf_get_section,1.0
X509_REQ_sign_ctx,X509_REQ_sign_ctx,1.0
ASN1_INTEGER_get,ASN1_INTEGER_get,1.0
ASN1_TIME_free,DISPLAYTEXT_free,1.0
setup_idp,setup_idp,1.0
DISPLAYTEXT_free,ASN1_PRINTABLE_free,1.0
ASN1_template_d2i,ASN1_template_d2i,1.0
d2i_ASN1_BMPSTRING,d2i_ASN1_PRINTABLE,1.0
get_crl_score,get_crl_score,1.0
d2i_ASN1_IA5STRING,d2i_ASN1_UTF8STRING,1.0
X509_STORE_load_locations,X509_STORE_load_locations,1.0
d2i_ASN1_IA5STRING,d2i_ASN1_UTCTIME,1.0
ASN1_PRINTABLE_free,ASN1_PRINTABLE_free,1.0
i2a_ASN1_STRING,i2a_ASN1_STRING,1.0
X509_LOOKUP_init,X509_LOOKUP_shutdown,1.0
d2i_ASN1_BMPSTRING,d2i_ASN1_PRINTABLESTRING,1.0
d2i_ASN1_TIME,d2i_ASN1_ENUMERATED,1.0
d2i_ASN1_VISIBLESTRING,d2i_ASN1_BMPSTRING,1.0
rsa_pub_print,rsa_priv_print,1.0
EVP_PKEY_CTX_new,EVP_PKEY_CTX_new,1.0
EVP_CIPHER_block_size,EVP_CIPHER_nid,1.0
d2i_DISPLAYTEXT,d2i_ASN1_GENERALIZEDTIME,1.0
SSL_set_trust,SSL_set_purpose,1.0
EVP_CIPHER_CTX_iv_length,EVP_CIPHER_CTX_iv_length,1.0
d2i_NOTICEREF,d2i_NOTICEREF,1.0
asn1_i2d_ex_primitive,asn1_i2d_ex_primitive,1.0
d2i_X509_EXTENSION,d2i_X509_EXTENSION,1.0
i2a_ASN1_STRING,i2a_ASN1_INTEGER,1.0
X509_REVOKED_add_ext,X509_REVOKED_add_ext,1.0
d2i_ASN1_UNIVERSALSTRING,d2i_ASN1_PRINTABLE,1.0
d2i_ASN1_UTF8STRING,d2i_ASN1_UTCTIME,1.0
ASN1_item_ex_new,ASN1_item_ex_new,1.0
ASN1_IA5STRING_free,ASN1_TIME_free,1.0
BN_mod_lshift,BN_mod_lshift,1.0
X509_delete_ext,X509_delete_ext,1.0
EVP_CIPHER_key_length,EVP_CIPHER_iv_length,1.0
ASN1_TIME_set,ASN1_TIME_set,1.0
PEM_read_X509_CERT_PAIR,PEM_read_X509_CERT_PAIR,1.0
d2i_NETSCAPE_SPKI,d2i_NETSCAPE_SPKI,1.0
ASN1_STRING_free,ASN1_STRING_free,1.0
d2i_ASN1_TIME,d2i_DIRECTORYSTRING,1.0
GENERAL_NAME_cmp,GENERAL_NAME_cmp,1.0
d2i_ASN1_T61STRING,d2i_ASN1_GENERALIZEDTIME,1.0
EC_KEY_get0_private_key,EC_KEY_get0_private_key,1.0
d2i_CRL_DIST_POINTS,d2i_CRL_DIST_POINTS,1.0
d2i_DISPLAYTEXT,d2i_ASN1_INTEGER,1.0
X509_REVOKED_get_ext_by_critical,X509_REVOKED_get_ext_by_critical,1.0
d2i_X509_CERT_AUX,d2i_X509_CERT_AUX,1.0
asn1_check_eoc,asn1_check_eoc,1.0
d2i_ASN1_INTEGER,d2i_ASN1_OCTET_STRING,1.0
SSL_get_SSL_CTX,SSL_get_SSL_CTX,1.0
d2i_ASN1_ENUMERATED,d2i_ASN1_OCTET_STRING,1.0
X509_ALGOR_free,X509_ALGOR_free,1.0
PEM_write_bio_PKCS8PrivateKey,PEM_write_bio_PKCS8PrivateKey,1.0
SSL_alert_type_string_long,SSL_alert_type_string_long,1.0
ASN1_BIT_STRING_name_print,ASN1_BIT_STRING_name_print,1.0
RSA_verify_PKCS1_PSS,RSA_verify_PKCS1_PSS,1.0
X509_set_serialNumber,X509_set_serialNumber,1.0
SXNET_add_id_ulong,SXNET_add_id_ulong,1.0
d2i_RSA_PUBKEY_fp,d2i_RSA_PUBKEY_fp,1.0
X509_CRL_set_default_method,X509_CRL_set_default_method,1.0
X509V3_add_value_bool,X509V3_add_value_bool_nf,1.0
d2i_ASN1_PRINTABLESTRING,d2i_ASN1_ENUMERATED,1.0
DIRECTORYSTRING_free,DISPLAYTEXT_free,1.0
cpy_bmp,cpy_bmp,1.0
X509_ALGOR_set0,X509_ALGOR_set0,1.0
ll_append_tail,ll_append_head,1.0
SSL_get_verify_mode,SSL_get_mode,1.0
X509_REQ_get_pubkey,X509_REQ_get_pubkey,1.0
d2i_ASN1_ENUMERATED,d2i_ASN1_BMPSTRING,1.0
X509_REVOKED_get_ext_by_OBJ,X509_REVOKED_get_ext_by_OBJ,1.0
SSLeay_version,bio_fd_non_fatal_error,1.0
ASN1_check_infinite_end,ASN1_const_check_infinite_end,1.0
SSL_CTX_get_verify_mode,SSL_CTX_get_session_cache_mode,1.0
d2i_X509_CRL_fp,d2i_X509_CRL_fp,1.0
X509V3_EXT_add_alias,X509V3_EXT_add_alias,1.0
ASN1_primitive_new,ASN1_primitive_new,1.0
d2i_DIRECTORYSTRING,d2i_DISPLAYTEXT,1.0
X509_OBJECT_idx_by_subject,X509_OBJECT_idx_by_subject,1.0
asn1_get_enc_ptr,asn1_get_enc_ptr,1.0
d2i_ASN1_UTF8STRING,d2i_DIRECTORYSTRING,1.0
X509_CRL_digest,X509_CRL_digest,1.0
