openssl_101f,boringssl_0.9,sim_value
asn1_check_tlen,asn1_check_tlen,1.0
s2i_skey_id,s2i_skey_id,1.0
i2v_GENERAL_NAME,i2v_GENERAL_NAME,1.0
ASN1_primitive_free,ASN1_primitive_free,1.0
do_buf,do_buf,1.0
asn1_template_ex_d2i,asn1_template_ex_d2i,1.0
do_name_ex,do_name_ex,1.0
a2i_GENERAL_NAME,a2i_GENERAL_NAME,0.9999999999999999
get_crl_score,get_crl_score,0.9999999999999999
do_print_ex,do_print_ex,0.9999869519832985
CAST_cfb64_encrypt,CAST_cfb64_encrypt,0.9999850621566975
policy_cache_new,policy_cache_new,0.999966052800511
DES_ede3_cfb_encrypt,DES_ede3_cfb_encrypt,0.9999378902762119
ec_GFp_simple_is_on_curve,ec_GFp_simple_is_on_curve,0.9999149003287419
v3_generic_extension,v3_generic_extension,0.9998761609888127
asn1_ex_c2i,asn1_ex_c2i,0.9998657638039556
CRYPTO_gcm128_aad,CRYPTO_gcm128_aad,0.999673622175713
ASN1_mbstring_ncopy,ASN1_mbstring_ncopy,0.9996360318254747
BF_cfb64_encrypt,CAST_cfb64_encrypt,0.9995699643703478
CRYPTO_cbc128_decrypt,CRYPTO_cbc128_decrypt,0.9995447005591962
a2d_ASN1_OBJECT,a2d_ASN1_OBJECT,0.9994493948517333
ASN1_primitive_new,ASN1_primitive_new,0.9994367982516326
b64_read,b64_read,0.9993511540153474
d2i_PKCS8PrivateKey_bio,d2i_PKCS8PrivateKey_bio,0.9993207713594351
asn1_str2type,asn1_str2type,0.9989974718856247
ec_GFp_simple_dbl,ec_GFp_simple_dbl,0.9989572986777076
asn1_template_noexp_d2i,asn1_template_noexp_d2i,0.9988290297819079
PEM_do_header,PEM_do_header,0.9987900088700117
BN_mod_exp_recp,mod_exp_recp,0.998233617228182
asn1_d2i_read_bio,asn1_d2i_read_bio,0.9982165340508613
X509_ocspid_print,X509_ocspid_print,0.9981742986158757
asn1_item_ex_combine_new,asn1_item_ex_combine_new,0.9980861316294007
X509V3_EXT_print,X509V3_EXT_print,0.9979707792207793
DES_ede3_cfb64_encrypt,DES_ede3_cfb64_encrypt,0.9979492173725562
asn1_item_combine_free,asn1_item_combine_free,0.9978770599687004
asn1_ex_i2c,asn1_ex_i2c,0.9978231466545948
X509_NAME_oneline,X509_NAME_oneline,0.9976215011854974
DES_cfb64_encrypt,DES_ede3_cfb64_encrypt,0.9973457916175847
tree_init,tree_init,0.9970317468224592
long_i2c,long_i2c,0.9968487757194577
PEM_read_bio,PEM_read_bio,0.9968004045082421
d2i_ASN1_UINTEGER,d2i_ASN1_UINTEGER,0.9966244311164223
BN_is_prime_fasttest_ex,BN_is_prime_fasttest_ex,0.9966136424847098
internal_verify,internal_verify,0.9965323679871658
ec_GFp_simple_add,ec_GFp_simple_add,0.9964161974092031
c2i_ASN1_BIT_STRING,c2i_ASN1_BIT_STRING,0.9963817628253544
x509v3_cache_extensions,x509v3_cache_extensions,0.9962244160748193
RC2_set_key,RC2_set_key,0.9962202406758739
DES_ncbc_encrypt,DES_ede3_cfb_encrypt,0.996186163649063
crl_cb,crl_cb,0.9961246217146329
PEM_X509_INFO_write_bio,PEM_X509_INFO_write_bio,0.9958368794766599
asn1_d2i_ex_primitive,asn1_d2i_ex_primitive,0.995724905960079
ec_GFp_simple_cmp,ec_GFp_simple_cmp,0.995677666741352
NAME_CONSTRAINTS_check,NAME_CONSTRAINTS_check,0.9953940180126861
DES_ede3_cbcm_encrypt,DES_ede3_cfb_encrypt,0.9952047831744723
c2i_ASN1_INTEGER,c2i_ASN1_INTEGER,0.9951145247776589
PEM_ASN1_write_bio,PEM_ASN1_write_bio,0.9950871086035317
DES_ede3_cbc_encrypt,DES_ede3_cfb_encrypt,0.9950456758176442
x509_cb,x509_cb,0.9950222318865192
DES_xcbc_encrypt,DES_ede3_cfb_encrypt,0.9946352007605203
BN_mod_sqrt,BN_mod_sqrt,0.9946130667670228
asn1_do_adb,asn1_do_adb,0.9945470617343279
SXNET_add_id_INTEGER,SXNET_add_id_INTEGER,0.994430519346792
asn1_template_ex_i2d,asn1_template_ex_i2d,0.9943719016781916
do_pk8pkey,do_pk8pkey,0.9941836790068826
X509_to_X509_REQ,X509_to_X509_REQ,0.9940010238537915
do_ext_nconf,do_ext_nconf,0.9937928444805005
ec_GFp_simple_dbl,ec_GFp_simple_is_on_curve,0.9937296964398372
BN_mod_exp_mont_consttime,BN_mod_exp_mont_consttime,0.9937236270067941
ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9936670765286221
DES_cbc_encrypt,DES_ede3_cfb64_encrypt,0.9935326985802808
X509_print_ex,X509_print_ex,0.9934906685999834
ASN1_item_ex_d2i,ASN1_item_ex_d2i,0.9934343722507629
X509_REQ_get_extensions,X509_REQ_get_extensions,0.9933368051372813
b64_write,b64_write,0.9932338944915486
CRYPTO_xts128_encrypt,CRYPTO_xts128_encrypt,0.9931786864498637
ec_GFp_simple_is_on_curve,ec_GFp_simple_dbl,0.9931591484770607
X509_STORE_CTX_init,X509_STORE_CTX_init,0.9929520335125233
ASN1_bn_print,bn_print,0.9928618185673688
DES_ncbc_encrypt,DES_ede3_cfb64_encrypt,0.9925745092292415
check_crl,check_crl,0.992140782795577
DES_ede3_cbc_encrypt,DES_ede3_cfb64_encrypt,0.992130481403998
