openssl_101f,libressl_3,sim_value
X509_REQ_add_extensions_nid,X509_REQ_add_extensions_nid,1.0
PKCS7_SIGNER_INFO_set,PKCS7_SIGNER_INFO_set,1.0
int_TS_RESP_verify_token,int_TS_RESP_verify_token,1.0
TS_TST_INFO_print_bio,TS_TST_INFO_print_bio,1.0
OCSP_cert_id_new,OCSP_cert_id_new,1.0
SXNET_add_id_INTEGER,SXNET_add_id_INTEGER,1.0
OCSP_basic_add1_status,OCSP_basic_add1_status,1.0
PKCS7_signatureVerify,PKCS7_signatureVerify,1.0
do_pk8pkey,do_pk8pkey,1.0
TS_RESP_verify_signature,TS_RESP_verify_signature,1.0
PKCS5_v2_PBE_keyivgen,PKCS5_v2_PBE_keyivgen,1.0
CMS_dataFinal,CMS_dataFinal,1.0
CMS_RecipientInfo_kekri_get0_id,CMS_RecipientInfo_kekri_get0_id,1.0
s2i_skey_id,s2i_skey_id,1.0
do_generate,do_generate,1.0
ESS_CERT_ID_new_init,ESS_CERT_ID_new_init,1.0
eckey_priv_decode,eckey_priv_decode,0.9999999999999999
md_ctrl,md_ctrl,0.9999999999999999
PKCS12_create,PKCS12_create,0.9999739827245291
engine_table_select,engine_table_select,0.9999717402362516
policy_cache_new,policy_cache_new,0.999966052800511
ec_GFp_simple_dbl,ec_GFp_simple_dbl,0.9999527559535843
PKCS12_gen_mac,PKCS12_gen_mac,0.999930272098075
print_attribs,print_attribs,0.99992735725701
cert_status_cb,cert_status_cb,0.9999028083563138
TS_CONF_set_digests,TS_CONF_set_digests,0.9998950682056662
print_ocsp_summary,print_ocsp_summary,0.9998935377408709
create_verify_ctx,create_verify_ctx,0.9998913652910364
TS_CONF_set_policies,TS_CONF_set_policies,0.9998837479655893
ocsp_match_issuerid,ocsp_match_issuerid,0.9998704663212435
PKCS7_get0_signers,PKCS7_get0_signers,0.9998653742595585
ec_GFp_simple_is_on_curve,ec_GFp_simple_is_on_curve,0.9998546145523668
parse_pk12,parse_pk12,0.9998519395913533
certify,certify,0.9998426235536213
TS_RESP_check_request,TS_RESP_check_request,0.9998209169054442
d2i_PKCS8PrivateKey_bio,d2i_PKCS8PrivateKey_bio,0.9998193223451106
TS_RESP_sign,TS_RESP_sign,0.9998058252427184
ec_GFp_simple_add,ec_GFp_simple_add,0.9997965129623808
bio_ctrl,bio_ctrl,0.999786130366418
pkcs7_copy_existing_digest,pkcs7_copy_existing_digest,0.9997666822211853
OCSP_basic_sign,OCSP_basic_sign,0.9997547817557627
PKCS7_add_signer,PKCS7_add_signer,0.9997489959839359
BN_mod_exp_mont_word,BN_mod_exp_mont_word,0.9997239218583602
OCSP_RESPONSE_print,OCSP_RESPONSE_print,0.9997105225068751
X509_check_akid,X509_check_akid,0.9996888612321095
X509_REQ_get_extensions,X509_REQ_get_extensions,0.9996469549867607
ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9996211070579579
enc_ctrl,enc_ctrl,0.9996139741362673
ssl_ctrl,ssl_ctrl,0.9995934407784153
b64_ctrl,b64_ctrl,0.9995361512147041
asn1_template_ex_i2d,asn1_template_ex_i2d,0.9995302821242991
TS_RESP_create_tst_info,TS_RESP_create_tst_info,0.9995205271918031
PKCS5_PBE_keyivgen,PKCS5_PBE_keyivgen,0.9995118314321576
receipt_request_print,receipt_request_print,0.9994910206563193
